director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Ken Marino,Nina Dobrev,Vanessa Hudgens,Adam Pally,Comedy Family Romance,dog days,Nina Dobrev Vanessa Hudgens Adam Pally Ken Marino Comedy Family Romance
Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg,Jason Statham Li Bingbing Rainn Wilson Jon Turteltaub Action Science Fiction Horror
Spike Lee,John David Washington,Adam Driver,Laura Harrier,Crime Comedy Drama History,blackkklansman,John David Washington Adam Driver Laura Harrier Spike Lee Crime Comedy Drama History
Sylvain White,Julia Goldani Telles,Joey King,Jaz Sinclair,Horror Mystery Thriller,slender man,Julia Goldani Telles Joey King Jaz Sinclair Sylvain White Horror Mystery Thriller
Jean-Stéphane Sauvaire,Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn,Joe Cole unknown unknown Jean-Stéphane Sauvaire Drama Action Crime
Sebastian Gutierrez,Abbey Lee,Matthew Beard,Carla Gugino,Science Fiction Thriller Horror Mystery,elizabeth harvest,Abbey Lee Matthew Beard Carla Gugino Sebastian Gutierrez Science Fiction Thriller Horror Mystery
Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Romance,crazy rich asians,Constance Wu Henry Golding Gemma Chan Jon M. Chu Comedy Romance
Albert Hughes,Kodi Smit-McPhee,Jóhannes Haukur Jóhannesson,unknown,Horror Drama Science Fiction,alpha,Kodi Smit-McPhee Jóhannes Haukur Jóhannesson unknown Albert Hughes Horror Drama Science Fiction
Peter Berg,Mark Wahlberg,Iko Uwais,John Malkovich,Action Thriller,mile 22,Mark Wahlberg Iko Uwais John Malkovich Peter Berg Action Thriller
Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife,Glenn Close Jonathan Pryce Christian Slater Björn Runge Drama
James Cox,Ansel Elgort,Taron Egerton,Emma Roberts,Drama,billionaire boys club,Ansel Elgort Taron Egerton Emma Roberts James Cox Drama
Jesse Peretz,Rose Byrne,Ethan Hawke,Chris O'Dowd,Comedy Drama Romance,"juliet, naked",Rose Byrne Ethan Hawke Chris O'Dowd Jesse Peretz Comedy Drama Romance
Rodrigo Cortés,AnnaSophia Robb,Isabelle Fuhrman,Victoria Moroles,Horror Mystery Thriller Fantasy Drama,down a dark hall,AnnaSophia Robb Isabelle Fuhrman Victoria Moroles Rodrigo Cortés Horror Mystery Thriller Fantasy Drama
Susan Johnson,Lana Condor,Noah Centineo,Janel Parrish,Comedy Romance,to all the boys i've loved before,Lana Condor Noah Centineo Janel Parrish Susan Johnson Comedy Romance
Brian Henson,Melissa McCarthy,Bill Barretta,Joel McHale,Action Crime Comedy,the happytime murders,Melissa McCarthy Bill Barretta Joel McHale Brian Henson Action Crime Comedy
Aneesh Chaganty,John Cho,Debra Messing,unknown,Drama TV Movie,searching,John Cho Debra Messing unknown Aneesh Chaganty Drama TV Movie
Michael Noer,Charlie Hunnam,Rami Malek,Roland Møller,Adventure Crime Drama,papillon,Charlie Hunnam Rami Malek Roland Møller Michael Noer Adventure Crime Drama
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,Alex Neustaedter Becky G Alex MacNicoll Oliver Daly Science Fiction Action Adventure Family
Chris Weitz,Oscar Isaac,Ben Kingsley,Mélanie Laurent,Drama History Thriller,operation finale,Oscar Isaac Ben Kingsley Mélanie Laurent Chris Weitz Drama History Thriller
"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,Science Fiction Action Adventure Thriller,kin,"Myles Truitt Jack Reynor Zoë Kravitz Jonathan Baker, Josh Baker Science Fiction Action Adventure Thriller"
Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding,Winona Ryder Keanu Reeves unknown Victor Levin Romance Comedy Drama
Brian A. Miller,Bruce Willis,Frank Grillo,Johnathon Schaech,Action Adventure Thriller,reprisal,Bruce Willis Frank Grillo Johnathon Schaech Brian A. Miller Action Adventure Thriller
Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror,the nun,Demián Bichir Taissa Farmiga Jonas Bloquet Corin Hardy Horror
Pierre Morel,Jennifer Garner,John Ortiz,John Gallagher Jr.,Action Thriller,peppermint,Jennifer Garner John Ortiz John Gallagher Jr. Pierre Morel Action Thriller
Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Thriller,the predator,Boyd Holbrook Trevante Rhodes Jacob Tremblay Shane Black Science Fiction Action Thriller
Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Thriller Comedy Mystery,a simple favor,Anna Kendrick Blake Lively Henry Golding Paul Feig Thriller Comedy Mystery
Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick,Matthew McConaughey Richie Merritt Bel Powley Yann Demange Crime Drama
Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Drama,unbroken: path to redemption,Samuel Hunt Merritt Patterson Vanessa Bell Calloway Harold Cronk Drama
Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act,Emma Thompson Stanley Tucci Fionn Whitehead Richard Eyre Drama
Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie,Chloë Sevigny Kristen Stewart Jay Huguley Craig William Macneill Crime Drama Thriller
Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Horror Mystery,hell house llc ii: the abaddon hotel,Vasile Flutur Jillian Geurts Joy Shatz Stephen Cognetti Horror Mystery
Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Comedy Family Fantasy Horror Mystery,the house with a clock in its walls,Jack Black Cate Blanchett Owen Vaccaro Eli Roth Comedy Family Fantasy Horror Mystery
Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,life itself,Oscar Isaac Olivia Wilde Mandy Patinkin Dan Fogelman Drama Romance
Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Comedy,the sisters brothers,John C. Reilly Joaquin Phoenix Jake Gyllenhaal Jacques Audiard Western Drama Comedy
Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Horror Comedy,assassination nation,Odessa Young Suki Waterhouse Hari Nef Sam Levinson Thriller Horror Comedy
Donald Petrie,Emma Roberts,Hayden Christensen,Alyssa Milano,Comedy Romance,little italy,Emma Roberts Hayden Christensen Alyssa Milano Donald Petrie Comedy Romance
Wash Westmoreland,Keira Knightley,Dominic West,Eleanor Tomlinson,Drama History,colette,Keira Knightley Dominic West Eleanor Tomlinson Wash Westmoreland Drama History
Michael Moore (director/screenplay/narrator),Michael Moore (director/screenplay/narrator),unknown,unknown,Documentary,fahrenheit 11/9,Michael Moore (director/screenplay/narrator) unknown unknown Michael Moore (director/screenplay/narrator) Documentary
Lisa D'Apolito,Lisa D'Apolito (director); Gilda Radner,Amy Poehler,Melissa McCarthy,Documentary,"love, gilda",Lisa D'Apolito (director); Gilda Radner Amy Poehler Melissa McCarthy Lisa D'Apolito Documentary
Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Family Comedy Adventure Animation Fantasy,smallfoot,Channing Tatum James Corden Zendaya Karey Kirkpatrick Family Comedy Adventure Animation Fantasy
"Malcolm D. Lee (director[177]); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller,[178] John Hamburg (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",Kevin Hart,Tiffany Haddish,Rob Riggle,Comedy,night school,"Kevin Hart Tiffany Haddish Rob Riggle Malcolm D. Lee (director[177]); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller,[178] John Hamburg (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco Comedy"
David Lowery,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,the old man & the gun,Robert Redford Casey Affleck Danny Glover David Lowery Comedy Crime Drama
Gregory Plotkin,Amy Forsyth,Reign Edwards,Bex Taylor-Klaus,Horror Thriller,hell fest,Amy Forsyth Reign Edwards Bex Taylor-Klaus Gregory Plotkin Horror Thriller
Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Science Fiction Action,venom,Tom Hardy Michelle Williams Riz Ahmed Ruben Fleischer Science Fiction Action
Bradley Cooper,Bradley Cooper,Lady Gaga,Andrew Dice Clay,Music Drama Romance,a star is born,Bradley Cooper Lady Gaga Andrew Dice Clay Bradley Cooper Music Drama Romance
Peter Bogdanovich,Peter Bogdanovich (director/screenplay),unknown,unknown,Documentary Comedy,the great buster: a celebration,Peter Bogdanovich (director/screenplay) unknown unknown Peter Bogdanovich Documentary Comedy
Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,first man,Ryan Gosling Claire Foy Jason Clarke Damien Chazelle History Drama
Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Mystery Crime,bad times at the el royale,Jeff Bridges Cynthia Erivo Dakota Johnson Drew Goddard Thriller Mystery Crime
Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Comedy Fantasy Horror Family,goosebumps 2: haunted halloween,Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Ari Sandel Comedy Fantasy Horror Family
Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,beautiful boy,Steve Carell Timothée Chalamet Maura Tierney Felix van Groeningen Drama
Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy Thriller,the oath,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy Thriller
Nick Searcy,Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime Documentary,gosnell: the trial of america's biggest serial killer,Earl Billings Dean Cain Sarah Jane Morris Nick Searcy Drama Crime Documentary
"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei",Hannah Marks,Joey Power (directors/screenplay),Jeremy Allen White,Romance Drama,after everything,"Hannah Marks Joey Power (directors/screenplay) Jeremy Allen White Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei Romance Drama"
David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller,halloween,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror Thriller
George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
Marielle Heller,Melissa McCarthy,Richard E. Grant,unknown,Drama Crime Comedy,can you ever forgive me?,Melissa McCarthy Richard E. Grant unknown Marielle Heller Drama Crime Comedy
Jonah Hill,Sunny Suljic,Lucas Hedges,Na-Kel Smith,Drama Comedy,mid90s,Sunny Suljic Lucas Hedges Na-Kel Smith Jonah Hill Drama Comedy
Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,wildlife,Carey Mulligan Jake Gyllenhaal Ed Oxenbould Paul Dano Drama
Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Drama,what they had,Hilary Swank Michael Shannon Robert Forster Elizabeth Chomko Drama
Sacha Gervasi,Peter Dinklage,Jamie Dornan,Andy García,Drama TV Movie,my dinner with hervé,Peter Dinklage Jamie Dornan Andy García Sacha Gervasi Drama TV Movie
Donovan Marsh,Gerard Butler,Gary Oldman,Common,Action Adventure Thriller,hunter killer,Gerard Butler Gary Oldman Common Donovan Marsh Action Adventure Thriller
David Kerr,Rowan Atkinson,Ben Miller,Olga Kurylenko,Action Adventure Comedy,johnny english strikes again,Rowan Atkinson Ben Miller Olga Kurylenko David Kerr Action Adventure Comedy
Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Horror,suspiria,Dakota Johnson Tilda Swinton Mia Goth Luca Guadagnino Horror
David G. Evans,Sarah Drew,Justin Bruening,Eddie Kaulukukui,Drama War,indivisible,Sarah Drew Justin Bruening Eddie Kaulukukui David G. Evans Drama War
David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,bullitt county,Mike C. Nelson Jenni Melear David McCracken David McCracken Action Drama Thriller
Bryan Singer[a],Rami Malek,Lucy Boynton,Gwilym Lee,Music Drama,bohemian rhapsody,Rami Malek Lucy Boynton Gwilym Lee Bryan Singer[a] Music Drama
"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez,Family Fantasy Adventure,the nutcracker and the four realms,"Keira Knightley Mackenzie Foy Eugenio Derbez Lasse Hallström, Joe Johnston Family Fantasy Adventure"
Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Drama Comedy,nobody's fool,Tiffany Haddish Tika Sumpter Omari Hardwick Tyler Perry Drama Comedy
Joel Edgerton,Lucas Hedges,Nicole Kidman,Joel Edgerton,Drama,boy erased,Lucas Hedges Nicole Kidman Joel Edgerton Joel Edgerton Drama
Orson Welles,John Huston,Oja Kodar,Peter Bogdanovich,Drama,the other side of the wind,John Huston Oja Kodar Peter Bogdanovich Orson Welles Drama
Matthew Heineman,Rosamund Pike,Jamie Dornan,Tom Hollander,Drama War,a private war,Rosamund Pike Jamie Dornan Tom Hollander Matthew Heineman Drama War
"Zeek Earl, Chris Caldwell",Pedro Pascal,Sophie Thatcher,Jay Duplass,Science Fiction,prospect,"Pedro Pascal Sophie Thatcher Jay Duplass Zeek Earl, Chris Caldwell Science Fiction"
Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,bodied,Calum Worthy Jackie Long Rory Uphold Joseph Kahn Drama Comedy Music
Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Drama History,the front runner,Hugh Jackman Vera Farmiga J. K. Simmons Jason Reitman Drama History
"Scott Mosier, Yarrow Cheney",Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Animation Comedy Family Fantasy,the grinch,"Benedict Cumberbatch Rashida Jones Kenan Thompson Scott Mosier, Yarrow Cheney Animation Comedy Family Fantasy"
Fede Álvarez,Claire Foy,Sverrir Gudnason,LaKeith Stanfield,Action Crime Thriller,the girl in the spider's web,Claire Foy Sverrir Gudnason LaKeith Stanfield Fede Álvarez Action Crime Thriller
Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Horror War Science Fiction,overlord,Jovan Adepo Wyatt Russell Mathilde Ollivier Julius Avery Horror War Science Fiction
"Coen brothers (directors/screenplay); Tyne Daly, James Franco, Brendan Gleeson, Bill Heck, Grainger Hines, Zoe Kazan, Harry Melling, Liam Neeson, Tim Blake Nelson, Jonjo O'Neill, Chelcie Ross, Saul Rubinek, Tom Waits",Tyne Daly,James Franco,Brendan Gleeson,Western Comedy Drama,the ballad of buster scruggs,"Tyne Daly James Franco Brendan Gleeson Coen brothers (directors/screenplay); Tyne Daly, James Franco, Brendan Gleeson, Bill Heck, Grainger Hines, Zoe Kazan, Harry Melling, Liam Neeson, Tim Blake Nelson, Jonjo O'Neill, Chelcie Ross, Saul Rubinek, Tom Waits Western Comedy Drama"
"Daniel Fabelo, Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns, Gavin Free, Michael Jones, Colton Dunn, Nichole Sakura, Allie DeBerry",Burnie Burns,Gavin Free,Michael Jones,Science Fiction Action Adventure Comedy,lazer team 2,"Burnie Burns Gavin Free Michael Jones Daniel Fabelo, Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns, Gavin Free, Michael Jones, Colton Dunn, Nichole Sakura, Allie DeBerry Science Fiction Action Adventure Comedy"
David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Fantasy Adventure,fantastic beasts: the crimes of grindelwald,Eddie Redmayne Katherine Waterston Dan Fogler David Yates Fantasy Adventure
Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Drama Crime Thriller,widows,Viola Davis Michelle Rodriguez Elizabeth Debicki Steve McQueen Drama Crime Thriller
Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Drama Comedy History,green book,Viggo Mortensen Mahershala Ali Linda Cardellini Peter Farrelly Drama Comedy History
Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Merced,Comedy Drama,instant family,Mark Wahlberg Rose Byrne Isabela Merced Sean Anders Comedy Drama
Rich Moore,Rich Moore (director); Phil Johnston (director/screenplay[220]); Pamela Ribon (screenplay[220]); John C. Reilly,Sarah Silverman,Gal Gadot,Action Adventure Animation Comedy Family Science Fiction,ralph breaks the internet,Rich Moore (director); Phil Johnston (director/screenplay[220]); Pamela Ribon (screenplay[220]); John C. Reilly Sarah Silverman Gal Gadot Rich Moore Action Adventure Animation Comedy Family Science Fiction
Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama Action,creed ii,Michael B. Jordan Sylvester Stallone Tessa Thompson Steven Caple Jr. Drama Action
Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Thriller Action Drama,robin hood,Taron Egerton Jamie Foxx Ben Mendelsohn Otto Bathurst Thriller Action Drama
Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Jorge Antonio Guerrero,Drama,roma,Yalitza Aparicio Marina de Tavira Jorge Antonio Guerrero Alfonso Cuarón Drama
Clay Kaytis,Kurt Russell,Judah Lewis,Darby Camp,Comedy Adventure Family Fantasy,the christmas chronicles,Kurt Russell Judah Lewis Darby Camp Clay Kaytis Comedy Adventure Family Fantasy
Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,History Comedy Drama,the favourite,Olivia Colman Emma Stone Rachel Weisz Yorgos Lanthimos History Comedy Drama
Andy Serkis,Christian Bale,Cate Blanchett,Benedict Cumberbatch,Adventure Drama,mowgli: legend of the jungle,Christian Bale Cate Blanchett Benedict Cumberbatch Andy Serkis Adventure Drama
Diederik van Rooijen,Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,the possession of hannah grace,Shay Mitchell Grey Damon Kirby Johnson Diederik van Rooijen Horror Drama
Johan Bodell,Christopher Lee Page,Caitlin Crommett,Erik Kammerland,Horror Mystery Comedy,the cabin,Christopher Lee Page Caitlin Crommett Erik Kammerland Johan Bodell Horror Mystery Comedy
Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,mary queen of scots,Saoirse Ronan Margot Robbie Jack Lowden Josie Rourke Drama History
Peter Hedges,Julia Roberts,Lucas Hedges,Courtney B. Vance,Drama,ben is back,Julia Roberts Lucas Hedges Courtney B. Vance Peter Hedges Drama
"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Animation Action Adventure Science Fiction,spider-man: into the spider-verse,"Shameik Moore Jake Johnson Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Animation Action Adventure Science Fiction"
Christian Rivers,Hera Hilmar,Robert Sheehan,Hugo Weaving,Adventure Science Fiction,mortal engines,Hera Hilmar Robert Sheehan Hugo Weaving Christian Rivers Adventure Science Fiction
Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama,the mule,Clint Eastwood Bradley Cooper Laurence Fishburne Clint Eastwood Crime Drama
Barry Jenkins,KiKi Layne,Stephan James,Colman Domingo,Romance Drama,if beale street could talk,KiKi Layne Stephan James Colman Domingo Barry Jenkins Romance Drama
